,job_id,company_name,title,description,max_salary,pay_period,location,company_id,views,med_salary,min_salary,formatted_work_type,applies,original_listed_time,remote_allowed,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,normalized_salary,zip_code,fips,industry,Mentions_AI
80623,3903843265,Podium,Sales Operations Analyst (2024),"At Podium, our mission is to help local businesses win. Our lead conversion platform, powered by AI and integrations, helps local businesses convert leads faster, communicate easier, and make more sales. Every day, thousands of local businesses utilize our review management, communication, marketing, and payments products.

Our work and focus on helping local businesses thrive has been recognized across the industry, including Forbes’ Next Billion Dollar Startups, Forbes’ Cloud 100, the Inc. 5000, and Fast Company’s World’s Most Innovative Companies.

At Podium, we believe in fostering a culture that thrives on hiring and developing exceptional talent. Our operating principles serve as a compass, guiding daily behavior and decision-making, and ensure we hire people who will thrive at Podium. If you resonate with our operating principles and are energized by our mission, Podium will be a great place for you!

The Role

Your primary focus will be on enhancing and accelerating our GTM strategy through analytics within the Sales Operations domain. This entails developing operational rigor, documenting key processes, crafting visualizations using our BI tool, Sigma, and conducting insightful ad hoc analyses to support and optimize sales performance.

In this role, you'll partner broadly across GTM functions and leverage your analytical expertise to translate business needs into actionable insights. Your responsibilities will also extend to mentoring and training team members, fostering a culture of continuous learning and empowerment within the Revenue Operations and Analytics community.

Responsibilities:

Work with stakeholders to identify opportunities and craft solutions that enhance sales effectivenessEvaluate and streamline sales processes to increase efficiency and effectiveness, working closely with sales and operations teams to implement improvementsGenerate regular reports on key sales metrics, such as pipeline velocity, conversion rates, and sales performance, providing insights to management and stakeholdersPartner with Business Applications and Data Science teams to optimize the organization's Customer Relationship Management (CRM) system, ensuring data accuracy, training users, and optimizing workflows to support sales objectivesDocument sales processes, procedures, and best practices to ensure consistency and scalability across the sales organization, facilitating training and onboarding of new team membersDevelop and maintain performance metrics and dashboards to assess individual and team sales performance, identifying areas for improvement and recognizing top performersImplement scalable and concise data analyses in Excel / Google SheetsCreate visualizations and reports for requested projects

Requirements:

Bachelor's degree in Statistics, Math, Economics or related field1+ years of professional experience modeling data in Excel / Google Sheets (3+ years total experience including internships or part-time positions)1+ years of professional experience in SalesforceStrong drive to organize and document data in a reproducible mannerAbility to understand the business logic for structuring data in a given way while also understanding and overcoming the technical limitations and challenges of implementing the desired data structure

Preferred Skills:

Design and implement sales reporting through Snowflake and dbtArchitect data models through SQLWrite documentation for best practices and to record Podium’s dataFollow best practices around version control and mentor Data Analysts and Data Scientists on version controlDevelop and execute database queries and conduct analysesDevelop and update technical documentation

Benefits

Open and transparent culture Life insurance, long and short-term disability coveragePaid maternity and paternity leaveFertility BenefitsGenerous vacation time, plus three 4-day summer holiday weekendsExcellent medical, dental, and vision benefits401k Plan with competitive company matchingBi-annual swag drops with cool Podium gear and apparel A stellar HQ (Utah) gym with local professional coaches and classes offeredOnsite HQ (Utah) child care center, subsidized for employeesAdditional benefits for fully remote employees

Podium is an equal opportunity employer. Podium provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, national origin, sexual orientation, gender identity or expression, age, disability, genetic information, marital status or veteran status.sexual orientation, gender identity or expression, age, disability, genetic information, marital status or veteran status.",,,"Lehi, UT",9203219.0,14.0,,,Part-time,6.0,1713398400000.0,,https://www.linkedin.com/jobs/view/3903843265/?trk=jobs_biz_prem_srch,https://boards.greenhouse.io/podium81/jobs/5910177?gh_src=8b0de3d81,OffsiteApply,1716072923000.0,,Mid-Senior level,,1713480923000.0,boards.greenhouse.io,0,PART_TIME,,,,84043.0,49049.0,Software Development,True
24595,3891018156,Techions,Data Scientist - Databricks,"At Techions, we pride ourselves on being at the forefront of innovation, constantly pushing boundaries, and driving technological advancements. Our commitment to excellence has propelled us to the forefront of the industry, earning us a reputation as a pioneering force in the tech world.
Now, let's dive into the exciting opportunity we have for a Senior Data Scientist with expertise in Azure Databricks to join our dynamic team at Techions.
About Techions:
Techions is a trailblazing tech company known for its cutting-edge solutions and forward-thinking approach. We thrive on innovation and are committed to leveraging the latest technologies to solve complex challenges. Our team comprises passionate individuals who are driven by a shared vision of revolutionizing the tech landscape. At Techions, you'll have the opportunity to collaborate with some of the brightest minds in the industry, work on groundbreaking projects, and make a meaningful impact on the world.
Position Overview:We are seeking a highly skilled Senior Data Scientist with extensive experience in Azure Databricks to join our team. As a Senior Data Scientist at Techions, you will play a pivotal role in driving data-driven decision-making and developing advanced analytical solutions to address business challenges. You will work closely with cross-functional teams to extract insights from data, build predictive models, and deploy scalable solutions on the Azure Databricks platform.
Key Responsibilities:Lead the design, development, and implementation of machine learning models and algorithms to solve complex business problems.Collaborate with stakeholders to define project objectives, requirements, and success criteria.Utilize Azure Databricks for data preprocessing, feature engineering, model training, and deployment.Conduct exploratory data analysis to uncover hidden patterns and trends in large datasets.Develop data pipelines and workflows to automate repetitive tasks and streamline processes.Evaluate model performance and iterate on solutions to improve accuracy and efficiency.Stay current with emerging trends and technologies in data science and machine learning.
Requirements:Bachelor's or Master's degree in Computer Science, Statistics, Mathematics, or related field.Proven experience as a Data Scientist, preferably in a senior or lead role.Strong proficiency in Python, R, or other programming languages commonly used in data science.Hands-on experience with Data science libraries like pandas, scikit-learn and jupyter notebooks.Hands-on experience with Azure Databricks for data processing, model training, and deployment.Solid understanding of machine learning algorithms, statistical techniques, and data visualization.Excellent problem-solving skills and the ability to think creatively to tackle complex problems.Strong communication skills with the ability to effectively convey technical concepts to non-technical stakeholders.
Preferred Qualifications:Experience working in Agile development environments.Familiarity with cloud computing platforms such as Azure or AWS.Knowledge of big data technologies such as Hadoop, Spark, or Kafka.Join us at Techions and be part of a dynamic team that is shaping the future of technology. If you are passionate about data science and eager to make a meaningful impact, we want to hear from you!",,,"Santa Clara, CA",15317525.0,8.0,,,Full-time,4.0,1712859408000.0,,https://www.linkedin.com/jobs/view/3891018156/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1728411391000.0,,,,1712859408000.0,,0,FULL_TIME,,,,95050.0,6085.0,Research Services,True
112539,3905654103,Teladoc Health,Staff Machine Learning Engineer,"Teladoc Health is a global, whole person care company made up of a diverse community of people dedicated to transforming the healthcare experience. As an employee, you’re empowered to show up every day as your most authentic self and be a part of something bigger – thriving both personally and professionally. Together, let’s empower people everywhere to live their healthiest lives.

Join the red-hot field of healthcare technology and enjoy the opportunity to apply technical ingenuity and machine learning expertise to optimize Teladoc Health’s trailblazing member solutions. As our Staff Machine Learning Engineer, your fascinating and effective new approaches to ML will directly impact the health and happiness of our members. Currently we’re working with models and approaches such as LSTMs, VAEs, Doc2Vec, contextual bandits, and reinforcement learning. With these models, your work will drive clinical results and behavior-change outcomes, while reducing healthcare costs. Armed with insightful data, you can personalize member updates and recommendations, while continually improving our platform features.

Leveraging innovative, advanced technology, you’ll contribute to our ability to rapidly expand our product offering, reaching more people, and addressing more health issues. With ML you’ll uncover key insights into member health and behavior, enabling us to personalize the platform for individuals and provide direct, measurable benefits.

Essential Duties And Responsibilities

Design, prototype and build machine learning systems, frameworks, pipelines, libraries, utilities and tools that process massive data for ML tasks Translate data science prototypes into scalable production implementations Partner with data scientists to troubleshoot and optimize complex data pipelines Deploy machine learning models into production Build model deployment platform that can simplify implementing new models Build end-to-end reusable pipelines from data acquisition to model output delivery Mentor and guide data scientists to deploy their models into production Design & Build ML (engineering) solutions that unlock new ML modeling capabilities for Teladoc Health Work with Scala, Python, Tensorflow, Keras to build real-world products using ML Collaborate closely on intriguing technical projects with data scientists, data engineers, product managers, design specialists, and clinical researchers Identify opportunities and propose new ways to apply ML to solve challenging technical and data engineering problems and thus improve business results Design, develop, deploy, and maintain production-grade scalable data transformation, machine learning, time series models and deep learning code, pipelines, and dashboards; manage data and model versioning, training, tuning, serving, experiment and evaluation tracking dashboards 

Qualifications

10+ years of full time experience with data and/or backend engineering or equivalent Strong knowledge of computer science fundamentals, including object oriented programming, data structures, and algorithms Experience integrating Machine Learning models in production (batch, streaming and online) Fluent in Machine Learning algorithms Expert in Python, Java, and/or Scala Expert in using offline data storage and processing frameworks such as Hadoop and Hive Superb written and oral communication skills Experience in writing data pipeline and machine learning libraries and utilities Industry experience building and productionizing innovative end-to-end Machine Learning systems Willingness to learn new technologies Willingness to mentor junior data scientists Comfortable in a high-growth, fast-paced and agile environment 

The base salary range for this position is $140,000 - $190,000. In addition to a base salary, this position is eligible for a performance bonus and benefits (subject to eligibility requirements) listed here: Teladoc Health Benefits 2024. Total compensation is based on several factors including, but not limited to, type of position, location, education level, work experience, and certifications. This information is applicable for all full-time positions.

Why Join Teladoc Health?

A New Category in Healthcare:  Teladoc Health is transforming the healthcare experience and empowering people everywhere to live healthier lives.  

Our Work Truly Matters: Recognized as the world leader in whole-person virtual care, Teladoc Health uses proprietary health signals and personalized interactions to drive better health outcomes across the full continuum of care, at every stage in a person’s health journey.  

Make an Impact: In more than 175 countries and ranked Best in KLAS for Virtual Care Platforms in 2020, Teladoc Health leverages more than a decade of expertise and data-driven insights to meet the growing virtual care needs of consumers and healthcare professionals.  

Focus on PEOPLE:  Teladoc Health has been recognized as a top employer by numerous media and professional organizations. Talented, passionate individuals make the difference, in this fast-moving, collaborative, and inspiring environment. 

Diversity and Inclusion:  At Teladoc Health we believe that personal and professional diversity is the key to innovation. We hire based solely on your strengths and qualifications, and the way in which those strengths can directly contribute to your success in your new position.  

Growth and Innovation:  We’ve already made healthcare yet remain on the threshold of very big things. Come grow with us and support our mission to make a tangible difference in the lives of our Members. 

As an Equal Opportunity Employer, we never have and never will discriminate against any job candidate or employee due to age, race, religion, color, ethnicity, national origin, gender, gender identity/expression, sexual orientation, membership in an employee organization, medical condition, family history, genetic information, veteran status, marital status, parental status or pregnancy.

Teladoc Health respects your privacy and is committed to maintaining the confidentiality and security of your personal information. In furtherance of your employment relationship with Teladoc Health, we collect personal information responsibly and in accordance with applicable data privacy laws, including but not limited to, the California Consumer Privacy Act (CCPA). Personal information is defined as: Any information or set of information relating to you, including (a) all information that identifies you or could reasonably be used to identify you, and (b) all information that any applicable law treats as personal information. Teladoc Health’s Notice of Privacy Practices for U.S. Employees’ Personal information is available at this link.",190000.0,YEARLY,United States,128505.0,3.0,,140000.0,Full-time,,1713514916000.0,1.0,https://www.linkedin.com/jobs/view/3905654103/?trk=jobs_biz_prem_srch,https://teladoc.wd1.myworkdayjobs.com/en-US/teladochealth_is_hiring/job/Remote---USA/Staff-Machine-Learning-Engineer_JR16535?source=LinkedIn_Jobs,OffsiteApply,1716107662000.0,,Mid-Senior level,,1713515662000.0,teladoc.wd1.myworkdayjobs.com,0,FULL_TIME,USD,BASE_SALARY,165000.0,,,Hospitals and Health Care,True
55650,3901932801,DataAnnotation,Software Developer,"Software Developer (Contract)
DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.
We are looking for a proficient Software Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbotWrite high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)Previous experience as a Software Developer, Coder, Software Engineer, or Programmer",,,"San Jose, CA",96139831.0,8.0,,,Contract,1.0,1713465634000.0,1.0,https://www.linkedin.com/jobs/view/3901932801/?trk=jobs_biz_prem_srch,https://app.dataannotation.tech/worker_signup?projects=PROG_SA&worker_src=L&utm_medium=display&utm_source=linkedin&utm_campaign=softwaredeveloper,OffsiteApply,1716057633000.0,,,,1713465634000.0,,0,CONTRACT,,,,95101.0,6085.0,Software Development,True
75981,3903462124,Cohesity,Senior Software Engineer,"Cohesity is a leader in AI-powered data security and management. Aided by an extensive ecosystem of partners, Cohesity makes it easy to secure, protect, manage, and get value from data — across the data center, edge, and cloud. Cohesity helps organizations defend against cybersecurity threats with comprehensive data security and management capabilities, including immutable backup snapshots, AI-based threat detection, monitoring for malicious behavior, and rapid recovery at scale.

We’ve been named a Leader by multiple analyst firms and have been globally recognized for Innovation, Product Strength, and Simplicity in Design.

Join us on our mission to shape the future of our industry.

Cohesity offers a web-scale, hybrid cloud infrastructure for data management. We are looking for Software Engineers who are motivated and passionate and willing to enhance Cohesity’s Products and by working on features, tools, scripts that will make it easy to sell, deploy and maintain. You are not only a Software Engineer who designs and implements features but should have knack of diagnosing problems in large bodies of complex code, understand scalability and performance and work on fixes with rapid turnaround time and high quality. You will be part of our Product and Sustenance Engineering team and willing to work with Product Managers and more importantly with Customer Support, System Engineers and Customers.

Responsibilities (What You Will Be Doing)

Design, develop and maintain innovative products for our on-prem as well as SaaS offeringsCollaborate with product management, other cross functional leads and teams on both technical and business strategy to shape the future product roadmap for Cohesity’s infinitely scalable platform.Implement product features for on-prem and cloud platforms.Drive accountability for test driven development, delivery of high quality features and resilient enterprise class solutionsLead a culture of team ownership and direct individual and team accountability to continuously improve how they work and achieve results.Participating in Agile development processes.

Qualifications (What You Will Bring Along)

BS/MS/Phd in Computer Science or Engineering.Strong coding experience in any of these languages - C++, Golang, Python7+ years of developing and troubleshooting large scale distributed systemsA fast learner and self-starter with intellectual horsepower.Good analytical, debugging and troubleshooting skills.Problem-solver who can dive deep to solve complex problems/issues.Bring good testing methodologies and passion for building quality productsKnowledge of Microservices, SaaS architecture, Cloud native services is a plusKnowledge of agile/scrum methodologies.

Disclosure Pursuant to Applicable State Equal Pay Transparency Laws - This position has a starting pay range as listed below. Actual salary depends upon many factors, including a candidate’s skills, qualifications and experience, location, and salary expectations, and therefore a starting salary at the low end, high end, or even above the stated range may be offered. This position may also be eligible for bonus compensation, commission (if in a sales function), and/or equity grants. Additionally, full-time employees are eligible to participate in our comprehensive benefits framework, including health and wellness benefits, vacation, paid holidays and refresh days, 401(k) retirement plan, life and disability insurance coverages, and other benefits the Company may offer from time to time.

US Pay Range

$164,000—$205,000 USD

Data Privacy Notice For Job Candidates

For information on personal data processing, please see our Privacy Policy.

Equal Employment Opportunity Employer (EEOE)

Cohesity is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status, veteran status or any other category protected by law.

If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact us at 1-855-9COHESITY or talent@cohesity.com for assistance.

In-Office Expectations

Cohesity employees who are within a reasonable commute (e.g. within a forty-five (45) minute average travel time) work out of our core offices 2-3 days a week of their choosing.",205000.0,YEARLY,"San Jose, CA",3750699.0,56.0,,164000.0,Full-time,20.0,1712894714000.0,,https://www.linkedin.com/jobs/view/3903462124/?trk=jobs_biz_prem_srch,https://boards.greenhouse.io/cohesity/jobs/5853745&gh_src=3a847fe61?gh_src=3a847fe61,ComplexOnsiteApply,1716049471000.0,,Mid-Senior level,,1713457471000.0,www.cohesity.com,0,FULL_TIME,USD,BASE_SALARY,184500.0,95101.0,6085.0,Software Development,True
115791,3905856673,TELUS International AI Data Solutions,Media Search Analyst | Work From Home,"Join Our Team as a Media Search Analyst in United States!
Are you an iOS device owner and user? Are you located in the US? Do you have a passion for Music, Video, and Apple products? Then we have an exciting remote opportunity for you!
Job Summary:
We are hiring freelance English speaking Media Search Analysts for a project aimed at improving Siri, Music App, Video App Store, and HomePod experiences. The job would suit someone who is detail-oriented and has an interest in Apple Products.
The role is remotely based, providing the convenience of working from home with flexible hours, and allowing you to work in your own time whenever work is available. This role offers you the chance to contribute to a global tech giant. You will be completing research and evaluation tasks in a web-based environment. The project offers a variety of tasks, and work is paid per task.
Main requirements:Full professional fluency in English is requiredYou must be living in the US for at least 1 yearFamiliarity with Apple Products, must currently own an Apple Device and have an up to-date Apple ID account primarily linked to your initial registrationMust have an email address associated with an Apple IDAccess to a broadband internet connection, computer, and necessary software (provided at your expense)
Other Requirements:Strong attention to detail and excellent communication are essentialAbility to work independently and flexibility to new techniques/processesA keen interest in Internet researchPreferred level of education/certification - High School degree or higher (Further opportunities may arise to contribute to other tasks on a freelance basis)Successful completion of online evaluations demonstrating the ability to follow guidelines

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will be subject to quality assurance checks.

Don't miss this opportunity to be part of a dynamic team working on innovative technology. Apply today!
Sounds interesting? To participate and learn more details, register here:https://telusinternational.headway.ai/searchResults/REQ_ID_3802/?org_id=f3804cf7-d356
Why Join the TELUS International AI Community?
Flexible hours to work around home lifeBetter Work-Life balanceRemote work & location independencePositive environmental impactIndependent contractor role

""All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.""
Important notice: TELUS International will never request a monetary deposit for any role or project with the company, and our recruitment and sourcing teams only use @telusinternational.com or @telusinternational.ai addresses when emailing candidates.
If you are unsure as to whether a job offer is legitimate, please contact us at TI_AICommunitySupport@telusinternational.com for confirmation.",,,"Oklahoma, United States",6611939.0,2.0,,,Part-time,,1713536399000.0,1.0,https://www.linkedin.com/jobs/view/3905856673/?trk=jobs_biz_prem_srch,https://telusinternational.headway.ai/searchResults/REQ_ID_3802/?org_id=f3804cf7-d356,OffsiteApply,1716128399000.0,,Entry level,,1713536399000.0,,0,PART_TIME,,,,,,IT Services and IT Consulting,True
81543,3903870699,Insight,"Partner Business Development Manager, Samsung Mobility","Requisition Number: 96210 

Business Development Manager

Insight Enterprises is a Fortune 500 Solutions Integrator helping organizations accelerate transformation by unlocking the power of people and technology. With a 35-year foundation in hardware and software supply chain augmenting our deep expertise in cloud, data, AI, cybersecurity, and intelligent edge, we guide organizations through complex digital decisions to achieve extraordinary results. 

Are you a go-getter with a hunger for success? Do you thrive in a high-energy environment where you can truly make a difference? Insight has an amazing opportunity for you. We're in search of a dynamic Business Development Manager who can take us to the next level! As part of our team, you'll have the chance to work collaboratively with our partners to identify and bring in new business. You'll also leverage your skills to develop unique marketing programs that cater to each customer category and selling platform. By employing competitive strategies that drive vendor partnerships, pricing, and merchandising, you'll be an integral part of our growth and success. Get ready to unleash your potential and join an exciting team at Insight!

Key Responsibilities

Engage with vendor partners to strengthen relationships, facilitating partnering activities and programs resulting in positive sales growth.Meet sales and activity performance goals, including pipeline reports by opportunity. Communicate monthly summaries of wins, losses, inhibitors, and net-new opportunities to management.Maintain direct communications with inside and field sales management, promoting collaboration with partner sales teams through face-to-face or virtual meetings.Implement internally created call campaigns using business intelligence to identify new areas of opportunities. Track, measure, and report campaign success.Present information to top management, public groups, and Quarterly Business Reviews. Attend company, vendor, and publisher trainings and webinars.

What you’ll need to succeed 

Bachelor’s Degree from a 4-year college or university.5-7+ years of related professional work experience and/or training.5+ years of related IT sales experience and vendor knowledge.

Insight is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation or any other characteristic protected by law. 

Salary: $59,000 - $90,000 + Variable Incentive

The position described above provides a summary of some of the job duties required and what it would be like to work at Insight. For a comprehensive list of physical demands and work environment for this position, click here.

Insight is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation or any other characteristic protected by law.

Posting Notes: Remote || Arizona (US-AZ) || United States (US) || Sales/Business Development || None || Remote ||",90000.0,YEARLY,United States,2305.0,3.0,,59000.0,Full-time,,1713491190000.0,1.0,https://www.linkedin.com/jobs/view/3903870699/?trk=jobs_biz_prem_srch,https://careers.insight.com/careers/job/171819754656?microsite=jobs&domain=insight.com,OffsiteApply,1716083818000.0,,,,1713491818000.0,careers.insight.com,0,FULL_TIME,USD,BASE_SALARY,74500.0,,,IT Services and IT Consulting,True
68490,3902769211,Blend,Senior Project Manager,"Company Description

BLEND360 is an acclaimed, forward-thinking Data, Digital Marketing, & AI Solutions Company, dedicated to fueling remarkable outcomes for our Fortune 500 clients. Our trajectory is one of continuous expansion, emerging at the crossroads of cutting-edge analytics, data proficiency, technology, and digital marketing excellence.

Job Description

Job Summary

We are looking for a senior project manager to lead a small project team for a credit card loyalty upgrade and migration project. You will be responsible for managing the project scope, budget, timeline, and deliverables, as well as communicating with internal and external stakeholders at an executive level. You will also collaborate with cross-functional teams across multiple organizations to ensure alignment and integration of project objectives and outcomes.

Job Responsibilities

Plan, execute, and monitor project, ensuring adherence to quality standards and best practices. Develop a project plan that ensures the project progresses in an organized, coordinated, and deliberate manner, and that holistically considers the project environment to deliver outcomes. Manage project risks, issues, dependencies, and escalations, and implement mitigation and resolution strategies. Communicate project status, progress, and challenges to senior management and key stakeholders, and provide recommendations and solutions as needed. Coordinate and facilitate project meetings, workshops, and presentations, and document and distribute meeting minutes and action items. Establish and maintain effective working relationships with cross-functional teams, vendors, and partners, and ensure alignment and integration of project deliverables and dependencies. Provide guidance, support, and coaching to client teams responsible for carrying out project work, and foster a culture of collaboration and excellence. 

Job Qualifications

Basic Qualifications:

Bachelor's degree in business, management, or related field, or equivalent work experience. 5 or more years of project management experience, preferably in the credit card or payments industry. Ability to influence client employees (assigned project team members and otherwise) to carry out project work. Strong knowledge of project management methodologies, tools, and best practices, and ability to apply them to complex and dynamic projects. Excellent communication, presentation, and interpersonal skills, and ability to communicate effectively at an executive level. Strong analytical, problem-solving, and decision-making skills, and ability to handle ambiguity and uncertainty. Ability to work independently and collaboratively, and to manage multiple workstreams and priorities simultaneously. 

Desired Qualifications

Project Management Professional (PMP) or other PM certification is a plus. Card migration and/or loyalty program experience is strongly desired. Las Vegas-based applicants are preferred. 

Qualifications

Additional Information

This role it is not eligible for immigration sponsorship 

The pay range for this role is $45.00 - $55.00 per hour. Actual compensation within the range will be dependent on several factors including but not limited to relevant experience, skills, certifications, training, and location. It is not typical for an individual to be hired at or near the top of the range and determining factors for compensation are considered for each individual circumstance. BLEND360 also offers a competitive benefits program to meet the health and financial well-being of our team and their families. You can look forward to a range of benefits including medical, dental, vision, 401K, PTO, commuter benefits, spending accounts, life insurance, disability coverage, and EAPs.

A diverse workforce is a strong workforce

To deliver growth at BLEND360 and for our clients, we believe as a Talent Solutions Company, we have a responsibility and unique opportunity to positively impact the workforce. Diversity has played a critical role in our history, our growth, and continues to have a profound impact on our success. We are determined to have equality in the workplace, within our team and as an extension of our clients’ team.

 BLEND360 is an equal opportunity employer.",55.0,HOURLY,"Oregon, United States",15798900.0,24.0,,45.0,Full-time,2.0,1713399142000.0,1.0,https://www.linkedin.com/jobs/view/3902769211/?trk=jobs_biz_prem_srch,https://jobs.smartrecruiters.com/Blend360/743999981113597-senior-project-manager,OffsiteApply,1715991802000.0,,Mid-Senior level,,1713399802000.0,jobs.smartrecruiters.com,0,FULL_TIME,USD,BASE_SALARY,104000.0,,,IT Services and IT Consulting,True
58559,3901951577,America Zenith,Senior Dotnet Developer,"Company DescriptionAmerica Zenith is an innovative IT consulting firm located in Houston, TX. With over 15 years of combined experience, we specialize in Application and Infrastructure Lifecycle Management, CRM Customization, Vendor Assessments, LMS and VMS offerings, ERP Implementations, and Product Lifecycle Management. Our expertise spans across diverse industries such as Financial Services, Insurance, Banking, Manufacturing, Telecom, Retail, Entertainment, and Life Sciences. At America Zenith, we embrace cutting-edge technologies like Big Data & Analytics, Cloud Computing, CRMs, UI Development, QA & Testing, and Artificial Intelligence to propel global businesses towards success.
Role DescriptionThis is a contract role for a Senior Dotnet Developer at America Zenith. The Senior Dotnet Developer will be responsible for day-to-day tasks related to object-oriented programming, software development, .NET Core, and ASP.NET MVC. This is a hybrid role, based in Houston, TX.
QualificationsMinimum 10+ years of experience as .NET Core DeveloperProficiency in Object-Oriented Programming (OOP) and Software DevelopmentExperience with .NET Core 8.0Strong programming skills and microservices architecture.Excellent problem-solving and analytical abilitiesAbility to work independently and collaboratively in a teamBachelor's degree in Computer Science or related fieldExperience with Agile methodologiesStrong communication and interpersonal skills",,,"Houston, TX",99200397.0,5.0,,,Contract,1.0,1713475210000.0,,https://www.linkedin.com/jobs/view/3901951577/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1716067210000.0,,,,1713475210000.0,,0,CONTRACT,,,,77002.0,48201.0,IT Services and IT Consulting,True
35119,3895524781,Eastman,Asset Integrity Electrical Engineer,"Founded in 1920, Eastman is a global specialty materials company that produces a broad range of products found in items people use every day. With the purpose of enhancing the quality of life in a material way, Eastman works with customers to deliver innovative products and solutions while maintaining a commitment to safety and sustainability. The company’s innovation-driven growth model takes advantage of world-class technology platforms, deep customer engagement, and differentiated application development to grow its leading positions in attractive end markets such as transportation, building and construction, and consumables. As a globally inclusive and diverse company, Eastman employs approximately 14,000 people around the world and serves customers in more than 100 countries. The company had 2023 revenue of approximately $9.2 billion and is headquartered in Kingsport, Tennessee, USA. For more information, visit  www.eastman.com .

Responsibilities

The Asset Integrity Electrical Engineer serves as a key resource for the Eastman’s Asset Integrity Management (AIM) program. In this role, you’ll assist with evaluating the status of the AIM programs corporately and help drive key improvements. This role will also require extensive interface and partnership with global manufacturing sites.

Primary responsibilities include:

Assist with the development of Corporate Asset Integrity (AI) standards and procedures – collaborate with corporate subject matter experts (SMEs) for technical contentServe as a resource/mentor for manufacturing sites with the development and implementation of asset integrity programs (inspection & testing programs, QA processes, fit for service assessments, etc.)Perform data mining and analysis, partnering with Corporate reliability resources as appropriateSupport the development and standardization of metrics and dashboards to improve visibility to site leaders and stewards of AI programsProvide AI stewardship to ensure local, federal, regulatory and Corporate standards complianceDevelop a general knowledge of applicable Asset Integrity related policies, regulations, and standardsWork closely with Operations, Maintenance, Process Safety, and Engineering teams to provide technical support to identify and resolve issues related to Asset Integrity Management (AIM) programsAssist with the development of training and education of manufacturing site personnel on procedures, practices, and fundamental requirements of AIM programDevelop an understanding of Eastman’s engineering and process safety processes (LOPA, MOC, EBI, etc.)Participate in external benchmarking to understand industry best practicesOccasional travel to domestic and international manufacturing sites to assist with assessing the site asset integrity programs

Qualifications

Bachelor’s or Master’s degree in Electrical Engineering from an accredited institution is requiredPrevious experience in a chemical or petrochemical manufacturing setting with broad understanding of operational needs and issues across the site highly preferredExperience with mechanical integrity programs and asset integrity highly preferredExperience with industrial maintenance preferredGeneral knowledge of chemical industry engineering techniques, codes, and standards related to Asset IntegrityKnowledge of predictive maintenance preferredFamiliar with risk management and process safety conceptsMust have good interpersonal, communication, collaboration, and consultation skills. This position will interact with personnel at the manufacturing sites and in various support organizationsProficiency with Microsoft Office programs Ability to compile and analyze complex dataWillingness to expand technical expertise in Asset Integrity and develop in-depth knowledge of related industry codes & standardsDemonstrated ability to solve complex issues and work in partnership with Manufacturing and other stakeholders

Eastman Chemical Company is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or any other characteristics protected by law.

Eastman is committed to creating a powerfully diverse workforce and a broadly inclusive workplace, where everyone can contribute to their fullest potential each day.",,,"Kingsport, TN",163547.0,5.0,,,Full-time,,1712888602000.0,,https://www.linkedin.com/jobs/view/3895524781/?trk=jobs_biz_prem_srch,https://jobs.eastman.com/job/Kingsport-Asset-Integrity-Electrical-Engineer-TN-37660/1153713600/?utm_source=LINKEDIN&utm_medium=referrer,OffsiteApply,1715481291000.0,,Entry level,,1712889291000.0,jobs.eastman.com,0,FULL_TIME,,,,37660.0,47163.0,Chemical Manufacturing,True
